Grid_Point,Trend,p-value,Slope,Latitude,Longitude,Color
"23.5,92.5",decreasing,0.019068322,-0.001484895,23.5,92.5,red
"23.5,93.5",decreasing,0.007701657,-0.001466925,23.5,93.5,red
"24.5,91.5",decreasing,0.044331742,-0.001142045,24.5,91.5,red
"24.5,92.5",decreasing,0.029620323,-0.001129802,24.5,92.5,red
"24.5,93.5",no trend,0.156908476,-0.000595013,24.5,93.5,gray
"24.5,94.5",no trend,0.089383574,-0.000700808,24.5,94.5,gray
"25.5,90.5",no trend,0.070305407,-0.000544232,25.5,90.5,gray
"25.5,91.5",no trend,0.782043272,-0.000105206,25.5,91.5,gray
"25.5,92.5",no trend,0.092172361,-0.000731936,25.5,92.5,gray
"25.5,93.5",no trend,0.15014508,-0.000581117,25.5,93.5,gray
"25.5,94.5",decreasing,0.04595954,-0.000814151,25.5,94.5,red
"26.5,90.5",no trend,0.273272975,-0.000228815,26.5,90.5,gray
"26.5,91.5",no trend,0.599594695,-0.000220471,26.5,91.5,gray
"26.5,92.5",no trend,0.244196284,-0.000489934,26.5,92.5,gray
"26.5,93.5",no trend,0.297870496,-0.000430399,26.5,93.5,gray
"26.5,94.5",decreasing,0.012857616,-0.001420457,26.5,94.5,red
"26.5,95.5",decreasing,0,-0.011754593,26.5,95.5,red
"27.5,90.5",no trend,0.195684802,-0.000426964,27.5,90.5,gray
"27.5,91.5",no trend,0.388687536,-0.000348086,27.5,91.5,gray
"27.5,92.5",no trend,0.145698318,-0.000625504,27.5,92.5,gray
"27.5,93.5",decreasing,0.013833266,-0.001142998,27.5,93.5,red
"27.5,94.5",decreasing,1.55E-06,-0.005195111,27.5,94.5,red
"27.5,95.5",decreasing,1.83E-09,-0.006061159,27.5,95.5,red
"27.5,96.5",decreasing,9.45E-10,-0.00621489,27.5,96.5,red
"28.5,91.5",no trend,0.791445751,-9.17E-05,28.5,91.5,gray
"28.5,92.5",no trend,0.652439481,-0.000172498,28.5,92.5,gray
"28.5,93.5",decreasing,2.27E-07,-0.00497655,28.5,93.5,red
"28.5,94.5",decreasing,1.85E-07,-0.005599338,28.5,94.5,red
"28.5,95.5",decreasing,2.89E-09,-0.005880291,28.5,95.5,red
